date,leverage
2024-01-05,4.00000000
2024-01-12,4.00000000
2024-01-19,4.00000000
2024-01-26,4.00000000
2024-02-02,4.00000000
2024-02-09,4.00000000
2024-02-16,4.00000000
2024-02-23,4.00000000
2024-03-01,4.00000000
2024-03-08,4.00000000
2024-03-15,1.75984336
2024-03-22,3.12185731
2024-03-29,1.88645120
2024-04-05,2.73750258
2024-04-12,2.03861983
2024-04-19,2.80435138
2024-04-26,2.22489683
2024-05-03,2.51828407
2024-05-10,2.22800988
2024-05-17,2.34501135
2024-05-24,2.41384112
2024-05-31,2.52058095
2024-06-07,2.59266580
2024-06-14,2.72743197
2024-06-21,2.71188337
2024-06-28,2.76792302
2024-07-05,2.69061842
2024-07-12,3.19555424
2024-07-19,2.50772530
2024-07-26,3.38776010
2024-08-02,2.56314329
2024-08-09,2.87723313
2024-08-16,2.40729105
2024-08-23,2.38614248
2024-08-30,1.96000079
2024-09-06,1.82107738
2024-09-13,1.79026326
2024-09-20,1.80927487
2024-09-27,1.75799645
2024-10-04,1.78518807
2024-10-11,1.86094504
2024-10-18,2.22435202
2024-10-25,2.04477184
2024-11-01,2.62969981
2024-11-08,1.96700983
2024-11-15,3.00345996
2024-11-22,2.56527476
2024-11-29,3.15315465
2024-12-06,2.70986388
2024-12-13,3.16566572
2024-12-20,2.64280712
2024-12-27,2.76071057
