,risk_scalar_applied
2024-01-05,1.0
2024-01-12,1.0
2024-01-19,1.0
2024-01-26,1.0
2024-02-02,1.0
2024-02-09,1.0
2024-02-16,1.0
2024-02-23,1.0
2024-03-01,1.0
2024-03-08,1.0
2024-03-15,1.0
2024-03-22,1.0
2024-03-29,1.0
2024-04-05,1.0
2024-04-12,1.0
2024-04-19,1.0
2024-04-26,1.0
2024-05-03,1.0
2024-05-10,1.0
2024-05-17,1.0
2024-05-24,1.0
2024-05-31,0.91328125
2024-06-07,0.8612627029418947
2024-06-14,0.9664088160265237
2024-06-21,0.9940214909383145
2024-06-28,0.9989359538315505
2024-07-05,0.9341856226423829
2024-07-12,0.9306082321548578
2024-07-19,0.8851106936623271
2024-07-26,0.883934496015585
2024-08-02,0.8560396112293364
2024-08-09,0.6776374210415492
2024-08-16,0.7777948437351782
2024-08-23,0.9515533303425159
2024-08-30,0.9913775336473862
2024-09-06,0.9984653862375352
2024-09-13,0.9997268717204988
2024-09-20,0.9999513890342391
2024-09-27,0.9999913482924707
2024-10-04,0.9999984601819363
2024-10-11,0.9999997259454667
2024-10-18,0.999999951224181
2024-10-25,0.9999999913189521
2024-11-01,0.99999999845496
2024-11-08,0.9999999997250162
2024-11-15,0.9343749999510589
2024-11-22,0.865016937247149
2024-11-29,0.8526726922004814
2024-12-06,0.7163692364780643
2024-12-13,0.9495198177227805
2024-12-20,0.991015612089821
2024-12-27,0.9984009719759471
