symbol,cagr,vol,sharpe
CL_FRONT_VOLUME,0.0186706112495445,0.24330616887209017,0.07673710591102986
UB_FRONT_VOLUME,0.008697489383434176,0.09949992137434768,0.08741202267599477
GC_FRONT_VOLUME,0.005071330851996736,0.09524996727073572,0.05324233695096329
6J_FRONT_CALENDAR,0.0033984902043675547,0.061948267668096677,0.054860133015757845
ZT_FRONT_VOLUME,0.0020149558019206815,0.01454208391280739,0.1385603201028214
ZF_FRONT_VOLUME,-4.5760598101907135e-05,0.02998533742355858,-0.0015260991549141082
ZN_FRONT_VOLUME,-0.0010642965622964518,0.04130714691334237,-0.02576543387344624
ES_FRONT_CALENDAR_2D,-0.0014850581836588495,0.10959087057456875,-0.013550929706762149
6B_FRONT_CALENDAR,-0.0020552302347335294,0.05040667144302791,-0.04077298055787022
6E_FRONT_CALENDAR,-0.003552960146023909,0.0482807075994225,-0.07358964527823961
SR3_FRONT_CALENDAR,-0.004618186463365315,0.006178708473409599,-0.7474355657399805
NQ_FRONT_CALENDAR_2D,-0.044221048506683514,0.14906884366601492,-0.29664849756103084
RTY_FRONT_CALENDAR_2D,-0.05106788874488932,0.12277383840925353,-0.41595090132036067
