symbol,AnnRet,AnnVol,Sharpe
6B_FRONT_CALENDAR,-0.01627594772902024,0.05011681099658302,-0.32476024322716657
6E_FRONT_CALENDAR,-0.012831955036860269,0.04803933448621413,-0.2671135055075058
6J_FRONT_CALENDAR,0.011246542560255054,0.06146298501499876,0.1829807412951156
CL_FRONT_VOLUME,0.11666308386247919,0.2436773679938804,0.4787604397689038
ES_FRONT_CALENDAR_2D,0.013710796942840517,0.1115273899973071,0.12293658932726366
GC_FRONT_VOLUME,0.016481992744433113,0.09537982123885216,0.1728037705497325
NQ_FRONT_CALENDAR_2D,0.014437945443949792,0.14959498470042748,0.0965135660989077
RTY_FRONT_CALENDAR_2D,-0.017983213031386683,0.11968217427250051,-0.15025807427630183
SR3_FRONT_CALENDAR,0.0034358518289637524,0.005910559724479742,0.581307353131633
UB_FRONT_VOLUME,-0.045067991686532256,0.09998037255828508,-0.4507683911685684
ZF_FRONT_VOLUME,0.008072980465969644,0.03022198191348424,0.2671228011809409
ZN_FRONT_VOLUME,0.0076991832032101875,0.04157850468658456,0.1851722004253403
ZT_FRONT_VOLUME,0.006254055871328828,0.014684468041222223,0.4258959775575424
